time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0,0,-0,0,0,0,0,0.581863002919522
0.005,0,-0,-1.23910365972408e-07,-5.69556016513373e-05,-1.4519334629605e-05,-0.00530285551664072,0.582031665925588
0.01,0,-0,-4.55077307032493e-07,-0.000231353999348233,-5.45676046107315e-05,-0.00897261396611975,0.58246875169537
0.015,0,-0,-1.00435601787467e-06,-0.00033795964478664,-0.000101498841811897,-0.00961737454941217,0.582724727523648
0.02,0,-0,-1.88335756121984e-06,-0.000285893745837013,-0.000162606827952052,-0.0145846435307747,0.582712672298525
0.025,0,-0,-3.25713225857393e-06,-9.82106459944815e-05,-0.000255058998896845,-0.0219383655345121,0.582569781218518
0.03,0,-0,-5.29928549260304e-06,0.000176763154817697,-0.000385768176479293,-0.0298058016331872,0.582390608018109
0.035,0,-0,-8.1641688743269e-06,0.000488255673982516,-0.000553605717228182,-0.0370049972389746,0.582219088969027
0.04,0,-0,-1.19768429137993e-05,0.000792117815885868,-0.000756814932362014,-0.0430865679318583,0.582067318393662
0.045,0,-0,-1.68343999657769e-05,0.00105684321335134,-0.000986434214263793,-0.0480847480294018,0.581929314225494
0.05,0,-0,-2.28123767555684e-05,0.00126183589137614,-0.00123797942668705,-0.0522493469830341,0.58179916005371
0.055,0,-0,-2.99727143057674e-05,0.00139197885374334,-0.00150884910228976,-0.055901559420658,0.581674574921572
0.06,0,-0,-3.83702012991718e-05,0.0014392732408936,-0.00179739623326176,-0.0593050035985624,0.581556885443496
0.065,0,-0,-4.80568600569124e-05,0.00140232154341145,-0.00210279351925911,-0.0626411789280009,0.581448723255566
0.07,0,-0,-5.90847402541756e-05,0.00128300159754371,-0.00242515667501874,-0.066027075157753,0.581352719357182
0.075,0,-0,-7.15075255372648e-05,0.00108783981212235,-0.00276474007152775,-0.0695317006707457,0.58126949522535
0.08,0,-0,-8.53815189202717e-05,0.000822434884333381,-0.00312277809375844,-0.0731982500696611,0.581198719709293
0.085,0,-0,-0.000100765885509837,0.000495394925915466,-0.00350019210089383,-0.0770394920626509,0.581138618325539
0.09,0,-0,-0.000117722669269057,0.000116989223365421,-0.00389719697726863,-0.0810594960179783,0.581086846853826
0.095,0,-0,-0.000136316384994668,-0.000306589270741592,-0.00431503293851002,-0.0852431117259859,0.581042014004048
0.1,0,-0,-0.000156613348892557,-0.000768605670028927,-0.00475399737884507,-0.0895644395411906,0.581002973425057
0.105,0,-0,-0.000178680831600077,-0.00126505258977951,-0.00521493284658684,-0.0939886942752715,0.580969143332785
0.11,0,-0,-0.000202586249936027,-0.00179259567492344,-0.00569822898608254,-0.0984822669500814,0.580940164558504
0.115,0,-0,-0.000228396439117668,-0.00234965212372561,-0.00620470154882733,-0.103013701522643,0.580916004040987
0.12,0,-0,-0.000256177177184946,-0.00293331713676506,-0.00673338779244768,-0.107563294384754,0.580896505219891
0.125,0,-0,-0.000285992728851286,-0.0035440236841433,-0.00728553917206282,-0.112109484326934,0.58088215530589
0.13,0,-0,-0.000317905604100221,-0.00418050197866857,-0.00786064194628528,-0.116641140069466,0.58087312148026
0.135,0,-0,-0.000351976405544622,-0.004842407674139,-0.00845887674480088,-0.121149987879491,0.580869738972354
0.14,0,-0,-0.000388263796596929,-0.00552848251821143,-0.00907957128494795,-0.125633601027733,0.58087207455429
0.145,0,-0,-0.000426824516630268,-0.00623799328108395,-0.00972259672530202,-0.130090991703654,0.580880310130791
0.15,0,-0,-0.000467713409103913,-0.00697011679111335,-0.010387821014987,-0.134521736462158,0.580894596379964
0.155,0,-0,-0.000510983451174211,-0.00772393859271059,-0.0110751100990972,-0.13892549869399,0.580915032845958
0.16,0,-0,-0.000556685777738379,-0.00849846866689889,-0.0117843273848987,-0.143301729302743,0.580941663690517
0.165,0,-0,-0.000604869695560184,-0.00929266668802595,-0.012515332068745,-0.147649475929359,0.580974483482883
0.17,0,-0,-0.000655582686053964,-0.0101054707003916,-0.0132679769332184,-0.151967312954532,0.581013448797658
0.175,0,-0,-0.000708870396636588,-0.0109358239645263,-0.01404210595458,-0.156253327098684,0.58105849012614
0.18,0,-0,-0.000764776622846291,-0.011782697212247,-0.0148375521793292,-0.160505200798801,0.581109522843396
0.185,0,-0,-0.000823343283823576,-0.0126451045266708,-0.0156541360522091,-0.164720314626735,0.581166455110222
0.19,0,-0,-0.00088461039457086,-0.0135221130768987,-0.0164916643974894,-0.168895887195686,0.581229193706841
0.195,0,-0,-0.000948616037698435,-0.0144128470650152,-0.017349929980402,-0.173029087948456,0.581297646946356
0.2,0,-0,-0.00101539633732143,-0.0153164874649962,-0.018228711654196,-0.17711715052742,0.58137172638729
