time_s,x_base_m,dx_base_mps,ax_base_mps2,fx_desired_N,fx_qp_feasible_N,fx_qp_slack_N,fx_qp_contact_N,fx_actual_from_base_N
0,0,0,-1.06057110332814,0,-0.0143080247691549,-0.0143080247691549,-5.74163105786035,-3.09419350691817
0.005,-1.4519334629605e-05,-0.00530285551664072,-0.897261396611975,1.02298191492515,1.00874974545022,-0.0142321694749324,-5.70853606370821,-3.01273546339653
0.01,-5.45676046107315e-05,-0.00897261396611975,-0.431451903277145,1.74082609017054,1.73086534873991,-0.0099607414306348,-3.99259854358233,-2.93651626253548
0.015,-0.000101498841811897,-0.00961737454941217,-0.561202956465494,1.88012065199005,1.87458868981638,-0.00553196217367505,-2.2095931406493,-2.87080949147988
0.02,-0.000162606827952052,-0.0145846435307747,-1.23209909850999,2.85405003217136,2.84604839897345,-0.00800163319791691,-3.19949144304585,-2.81723262690279
0.025,-0.000255058998896845,-0.0219383655345121,-1.52211581024125,4.29654543804976,4.28215595230061,-0.0143894857491492,-5.76250969017252,-2.77561511731964
0.03,-0.000385768176479293,-0.0298058016331872,-1.50666317044625,5.85030945131598,5.82849771490175,-0.0218117364142317,-8.7361868736891,-2.74483407615799
0.035,-0.000553605717228182,-0.0370049972389746,-1.32807662986711,7.28802529311345,7.25964440125821,-0.0283808918552392,-11.3616666808409,-2.7233640599545
0.04,-0.000756814932362014,-0.0430865679318583,-1.10797507904272,8.52282777076606,8.48954615709104,-0.0332816136750145,-13.3140616743617,-2.70955994622008
0.045,-0.000986434214263793,-0.0480847480294018,-0.916277905117579,9.55833119540678,9.52190446811966,-0.0364267272871171,-14.5619917772074,-2.70165610175726
0.05,-0.00123797942668705,-0.0522493469830341,-0.781681139125618,10.4410202835562,10.4029260224873,-0.0380942610689538,-15.2198920967676,-2.69794270475861
0.055,-0.00150884910228976,-0.055901559420658,-0.705565661552826,11.2317078573404,11.1930113573354,-0.0386965000050188,-15.4548982272277,-2.67383008155303
0.06,-0.00179739623326176,-0.0593050035985624,-0.673961950734296,11.9804667871578,11.941863409231,-0.0386033779268282,-15.4159850036718,-2.67457855699948
0.065,-0.00210279351925911,-0.0626411789280009,-0.672207155919057,12.7218731608566,12.6837715826502,-0.0381015782064047,-15.2179116019571,-2.7426715341695
0.07,-0.00242515667501874,-0.066027075157753,-0.689052174274478,13.4784280921192,13.4410258607481,-0.0374022313710774,-14.9447905775193,-2.79243943759287
0.075,-0.00276474007152775,-0.0695317006707457,-0.717117491190809,14.2634656947465,14.2268044026252,-0.0366612921212988,-14.6584026419124,-2.74610879044447
0.08,-0.00312277809375844,-0.0731982500696611,-0.750779139190523,15.0856872235531,15.049697554032,-0.0359896695210445,-14.4026781136081,-2.65781372544653
0.085,-0.00350019210089383,-0.0770394920626509,-0.786124594831721,15.9478485794298,15.9123919682416,-0.0354566111882057,-14.2048890391464,-2.57103985764375
0.09,-0.00389719697726863,-0.0810594960179783,-0.820361966333496,16.8508020618104,16.8156901178333,-0.0351119439770959,-14.0846434502884,-2.50904325086507
0.095,-0.00431503293851002,-0.0852431117259859,-0.85049435232123,17.792048210148,17.7570866099977,-0.0349616001503094,-14.0442815142353,-2.47773446006502
0.1,-0.00475399737884507,-0.0895644395411906,-0.874558254928564,18.7667122920286,18.7317219198355,-0.0349903721930688,-14.0776869551341,-2.47304485919588
0.105,-0.00521493284658684,-0.0939886942752715,-0.891782740889086,19.7683934827207,19.7332322389508,-0.035161243769828,-14.1700886838866,-2.48680459418629
0.11,-0.00569822898608254,-0.0984822669500814,-0.902500724737132,20.7907672593009,20.7553331953734,-0.0354340639275675,-14.3054171962757,-2.5106377458983
0.115,-0.00620470154882733,-0.103013701522643,-0.908102743467234,21.8280631701088,21.7922955482416,-0.0357676218671615,-14.467162065279,-2.5381515193904
0.12,-0.00673338779244768,-0.107563294384754,-0.909578280429112,22.8761800976976,22.8400441510989,-0.0361359465986803,-14.6448191400656,-2.56503408524947
0.125,-0.00728553917206282,-0.112109484326934,-0.907784568471227,23.9313913326291,23.8948826068172,-0.0365087258118806,-14.8262049879615,-2.58856788669981
